ID                      ,Company   ,Conversion Rate ,Currency ,Item                ,Quantity ,Default Source Warehouse ,Default Target Warehouse ,Item Description                                                                                    ,Item Name           ,Item Code (Items)      ,Qty (Items) ,Rate (Items) ,UOM (Items)
BOM-BIKE-PREMIUM-001    ,Velo GmbH ,            1.0 ,EUR      ,STO-BIKE-2024-0002 ,     1.0 ,Lager Stuttgart - B      ,Lager Stuttgart - B      ,"Premium Mountainbike mit optimierter Trail-Geometrie, Fox Factory Fahrwerk und Shimano XT Ausstattung." ,Velo Mountain Elite ,                    ,            ,             ,
                        ,          ,                ,         ,                    ,         ,                         ,                         ,                                                                                                    ,                    ,STO-COMP-2024-F002   ,        1.0 ,     1299.99 ,Nos
                        ,          ,                ,         ,                    ,         ,                         ,                         ,                                                                                                    ,                    ,STO-COMP-2024-F007   ,        1.0 ,      599.99 ,Nos
                        ,          ,                ,         ,                    ,         ,                         ,                         ,                                                                                                    ,                    ,STO-COMP-2024-C002   ,        1.0 ,      189.99 ,Nos
                        ,          ,                ,         ,                    ,         ,                         ,                         ,                                                                                                    ,                    ,STO-COMP-2024-C005   ,        1.0 ,      159.99 ,Nos
                        ,          ,                ,         ,                    ,         ,                         ,                         ,                                                                                                    ,                    ,STO-COMP-2024-C007   ,        1.0 ,      179.99 ,Nos
                        ,          ,                ,         ,                    ,         ,                         ,                         ,                                                                                                    ,                    ,STO-COMP-2024-C009   ,        1.0 ,      149.99 ,Nos
                        ,          ,                ,         ,                    ,         ,                         ,                         ,                                                                                                    ,                    ,STO-COMP-2024-W002   ,        1.0 ,      999.99 ,Nos
                        ,          ,                ,         ,                    ,         ,                         ,                         ,                                                                                                    ,                    ,STO-COMP-2024-W007   ,        2.0 ,       49.99 ,Nos
                        ,          ,                ,         ,                    ,         ,                         ,                         ,                                                                                                    ,                    ,STO-COMP-2024-B002   ,        1.0 ,      449.99 ,Nos
                        ,          ,                ,         ,                    ,         ,                         ,                         ,                                                                                                    ,                    ,STO-COMP-2024-B007   ,        2.0 ,       64.99 ,Nos
                        ,          ,                ,         ,                    ,         ,                         ,                         ,                                                                                                    ,                    ,STO-COMP-2024-D002   ,        1.0 ,      999.99 ,Nos
