ID                   ,Company   ,Conversion Rate ,Currency ,Item                ,Quantity ,Default Source Warehouse ,Default Target Warehouse ,Item Description                                                                                    ,Item Name           ,Item Code (Items)      ,Qty (Items) ,Rate (Items) ,UOM (Items)
BOM-BIKE-PRO-001    ,Velo GmbH ,            1.0 ,EUR      ,STO-BIKE-2024-0004 ,     1.0 ,Lager Stuttgart - B      ,Lager Stuttgart - B      ,"Solides Trekking-Bike mit Shimano Deore Ausstattung. Zuverlässiger Begleiter für Touren und Alltag." ,Velo Trekking Tour  ,                       ,            ,             ,
                    ,          ,                ,         ,                    ,         ,                         ,                         ,                                                                                                    ,                    ,STO-COMP-2024-F009   ,        1.0 ,      399.99 ,Nos
                    ,          ,                ,         ,                    ,         ,                         ,                         ,                                                                                                    ,                    ,STO-COMP-2024-F008   ,        1.0 ,      449.99 ,Nos
                    ,          ,                ,         ,                    ,         ,                         ,                         ,                                                                                                    ,                    ,STO-COMP-2024-C003   ,        1.0 ,       89.99 ,Nos
                    ,          ,                ,         ,                    ,         ,                         ,                         ,                                                                                                    ,                    ,STO-COMP-2024-C006   ,        1.0 ,       54.99 ,Nos
                    ,          ,                ,         ,                    ,         ,                         ,                         ,                                                                                                    ,                    ,STO-COMP-2024-C008   ,        1.0 ,       49.99 ,Nos
                    ,          ,                ,         ,                    ,         ,                         ,                         ,                                                                                                    ,                    ,STO-COMP-2024-C010   ,        1.0 ,       84.99 ,Nos
                    ,          ,                ,         ,                    ,         ,                         ,                         ,                                                                                                    ,                    ,STO-COMP-2024-W003   ,        1.0 ,      449.99 ,Nos
                    ,          ,                ,         ,                    ,         ,                         ,                         ,                                                                                                    ,                    ,STO-COMP-2024-W008   ,        2.0 ,       39.99 ,Nos
                    ,          ,                ,         ,                    ,         ,                         ,                         ,                                                                                                    ,                    ,STO-COMP-2024-B004   ,        1.0 ,      299.99 ,Nos
                    ,          ,                ,         ,                    ,         ,                         ,                         ,                                                                                                    ,                    ,STO-COMP-2024-B006   ,        2.0 ,       54.99 ,Nos
                    ,          ,                ,         ,                    ,         ,                         ,                         ,                                                                                                    ,                    ,STO-COMP-2024-D003   ,        1.0 ,      899.99 ,Nos
